gene,avg_methylation
ATF6B,0.4708630710439435
ATF7,0.376565537105594
ATF7IP,0.4121931517962616
ATF7IP2,0.5584517160938656
ATG10,0.5327013666549204
ATG101,0.12594760203662633
ATG12,0.1809720663956642
ATG13,0.27521867013185924
ATG14,0.19518669561468366
ATG16L1,0.3732515338409724
ATG16L2,0.3832628387533875
ATG3,0.07473100016937667
ATG4A,0.2185815902931762
ATG4B,0.6027322489110519
ATG4C,0.12823842733739785
ATG4D,0.42274049697114624
ATG5,0.29095853695762247
ATG7,0.5727669177205661
ATG9A,0.24814602811653114
ATIC,0.14682126198665826
ATL1,0.17912356665624332
ATL3,0.2949948404632857
