gene,HiC_1,HiC_2,HiC_3,HiC_4,HiC_5
AGRN,-0.012635388,-0.011775823,-0.014053612,-0.011845423,-0.016105484
AGRP,-0.012635315,-0.011774709,-0.014051364,-0.00917437,-0.01612819
AGT,-0.01263538,-0.0117758475,-0.014053626,-0.011844944,-0.016105134
AGTR1,-0.012634325,-0.011779737,-0.014056325,-0.011847397,-0.016078088
AGTR2,-0.01230984,-0.011779613,-0.014037576,-0.01189036,-0.016048482
AGTRAP,-0.012635391,-0.0117758,-0.014053623,-0.011845441,-0.016105566
AGXT,-0.01263538,-0.0117757125,-0.014053463,-0.011845569,-0.016105734
AGXT2,-0.012627303,-0.011778261,-0.014024721,-0.011995431,-0.015951151
AHCTF1,-0.012635248,-0.011776506,-0.014054925,-0.011827901,-0.016095432
AHCY,-0.012635389,-0.011775823,-0.014053597,-0.0118456865,-0.016105596
AHCYL1,-0.01263539,-0.011775803,-0.014053614,-0.011845471,-0.016105497
AHCYL2,-0.0126533555,-0.011635993,-0.014050077,-0.01090699,-0.01784167
AHI1,-0.012638877,-0.011756537,-0.014054655,-0.011651793,-0.016543757
AHNAK,-0.012634318,-0.011780523,0.00724277,-0.011867339,-0.016048068
AHR,-0.012637006,-0.011769401,-0.014045557,-0.011821625,-0.016251473
AHRR,-0.012628337,-0.011759739,-0.014021071,-0.011916789,-0.016249228
AHSA1,-0.012634845,-0.0117846625,-0.014046835,-0.011948917,-0.016001416
AHSG,-0.0126349805,-0.011777335,-0.014054496,-0.011846607,-0.016093826
AHSP,-0.012634921,-0.011777958,-0.014049392,0.018280268,-0.016243218
AICDA,-0.012635394,-0.0117758745,-0.014053592,-0.011846013,-0.016105015
AIF1,-0.012635396,-0.011775787,-0.014053611,-0.0118453065,-0.016106308
AIFM1,-0.009983545,-0.011778243,-0.0140494555,-0.01187452,-0.016082024
AIFM2,-0.012632195,-0.0117900325,-0.014056546,-0.0118933655,-0.0006204056
AIM2,-0.012635386,-0.0117757805,-0.014053648,-0.011845241,-0.01610524
AIMP1,-0.01263902,-0.011763951,-0.014062587,-0.011704303,-0.0162864
AIMP2,-0.012636144,-0.011770184,-0.014052967,-0.011811192,-0.016177138
AIP,-0.012635064,-0.0117796585,-0.013020591,-0.01187011,-0.016055174
AIPL1,-0.012635538,-0.011778619,-0.014059659,-0.011843246,-0.016102822
AJAP1,-0.012635369,-0.0117757805,-0.014053676,-0.011844033,-0.016104389
AJUBA,-0.01263543,-0.011776182,-0.014053252,-0.011850522,-0.016101627
AK2,-0.012635389,-0.011775789,-0.014053628,-0.011845471,-0.016105462
AK3,-0.012635019,0.058310032,-0.0140538495,-0.011837794,-0.016116098
AK4,-0.012635358,-0.011774713,-0.014054243,-0.011842313,-0.016101489
AK5,-0.012635282,-0.011771611,-0.014056095,-0.0118329115,-0.016088972
AK8,-0.012635352,-0.0044441507,-0.014053635,-0.011844803,-0.016106695
AKAP1,-0.012635433,-0.011776619,-0.014055346,-0.011844933,-0.016104849
AKAP10,-0.012635697,-0.011781613,-0.014066126,-0.011840706,-0.016099852
AKAP12,-0.0126414085,-0.011742513,-0.014055435,-0.01151008,-0.016863361
AKAP13,-0.012635391,-0.011775822,-0.014053619,-0.011845602,-0.016105616
AKAP14,-0.00801395,-0.011779615,-0.014043691,-0.011891736,-0.016060445
AKAP3,-0.012635392,-0.011775849,-0.014053599,-0.011845809,-0.016105263
AKAP4,0.06571225,-0.011789131,-0.014041667,-0.011988549,-0.016012665
AKAP5,-0.012635731,-0.011775074,-0.014053813,-0.011839988,-0.016115827
AKAP7,-0.012639486,-0.011753192,-0.014054853,-0.011617935,-0.01662028
AKAP8,-0.012635391,-0.011775818,-0.014053607,-0.011845626,-0.01610559
AKAP8L,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
AKAP9,-0.012643312,-0.0117870765,-0.013938872,-0.012426048,-0.016706064
AKIRIN1,-0.012635388,-0.011775775,-0.014053636,-0.011845419,-0.016105402
AKIRIN2,-0.01263622,-0.011771229,-0.014053857,-0.011799561,-0.016209774
AKR1A1,-0.01263539,-0.011775809,-0.014053615,-0.011845579,-0.016105546
AKR1B1,-0.012640732,-0.011738146,-0.014052441,-0.011570053,-0.016623732
AKR1C1,-0.012635327,-0.011776085,-0.014053648,-0.011845769,-0.015635839
AKR1C2,-0.012635107,-0.011776884,-0.014054224,-0.011838774,-0.012364703
AKR1C3,-0.012633937,-0.011780914,-0.0140559375,-0.0117838895,0.012493026
AKR1C4,-0.012634249,-0.011780717,-0.014054854,-0.011851604,-0.007782223
AKR1D1,-0.012642877,-0.011725266,-0.014059874,-0.011399215,-0.016843982
AKR7A2,-0.012635391,-0.011775815,-0.014053611,-0.0118455775,-0.016105559
AKR7A3,-0.01263539,-0.011775815,-0.014053613,-0.011845541,-0.016105548
AKT1,-0.012635449,-0.011777041,-0.014052506,-0.011861297,-0.016091859
AKT1S1,-0.012635391,-0.011775818,-0.014053608,-0.011845626,-0.01610559
AKT2,-0.01263539,-0.011775819,-0.014053608,-0.011845626,-0.01610559
AKT3,-0.012635136,-0.011776702,-0.01405518,-0.011820382,-0.01609001
AKTIP,-0.012635178,-0.011775107,-0.014049494,-0.00019457938,-0.016172538
ALAD,-0.0126353605,-0.0061645163,-0.014053628,-0.011844999,-0.01610643
ALAS1,-0.01263471,-0.011778345,-0.014055105,-0.011849007,-0.016095217
ALB,-0.0126369335,-0.011770925,-0.014057765,-0.011782618,-0.016183114
ALCAM,-0.012628987,-0.011799232,-0.014072465,-0.011865333,-0.015998645
ALDH18A1,-0.012632814,-0.011786972,-0.014055638,-0.0118686175,-0.00013084398
ALDH1A1,-0.012635306,0.0041643977,-0.014053663,-0.011843845,-0.01610798
ALDH1A2,-0.012635391,-0.0117758205,-0.014053614,-0.01184561,-0.016105613
ALDH1A3,-0.012635391,-0.01177582,-0.01405361,-0.011845625,-0.016105592
ALDH1B1,-0.012635324,0.0006512356,-0.014053651,-0.011844237,-0.016107455
ALDH1L1,-0.012634353,-0.0117796045,-0.014056423,-0.011849608,-0.016088024
