gene,missense_ratio,nonsense_ratio,frameshift_ratio,splice_ratio
AFAP1,0.0,0.0,0.0,0.005434782608695652
AFDN,0.005434782608695652,0.0,0.0,0.0
AFF1,0.021739130434782608,0.0,0.0,0.0
AFF4,0.0,0.0,0.0,0.0
AFG3L2,0.0,0.0,0.0,0.0
AFMID,0.005434782608695652,0.0,0.0,0.0
AGA,0.0,0.0,0.0,0.0
AGAP2,0.005434782608695652,0.0,0.0,0.0
AGER,0.0,0.0,0.0,0.0
AGFG1,0.0,0.0,0.0,0.0
AGGF1,0.0,0.0,0.0,0.0
AGL,0.010869565217391304,0.0,0.005434782608695652,0.0
AGMAT,0.0,0.0,0.0,0.0
AGMO,0.010869565217391304,0.0,0.0,0.0
AGO1,0.0,0.0,0.0,0.005434782608695652
AGO2,0.010869565217391304,0.0,0.0,0.0
AGO3,0.0,0.0,0.0,0.0
AGO4,0.010869565217391304,0.0,0.0,0.0
AGPAT1,0.0,0.0,0.0,0.0
AGPAT2,0.0,0.0,0.0,0.0
AGPAT3,0.0,0.0,0.0,0.0
AGPAT4,0.0,0.0,0.0,0.0
AGPAT5,0.0,0.0,0.0,0.0
AGPS,0.021739130434782608,0.0,0.0,0.0
AGR2,0.0,0.0,0.0,0.0
AGR3,0.005434782608695652,0.0,0.0,0.0
AGRN,0.016304347826086956,0.0,0.0,0.0
AGRP,0.0,0.0,0.0,0.0
AGT,0.0,0.0,0.0,0.0
AGTR1,0.0,0.0,0.0,0.0
AGTR2,0.010869565217391304,0.0,0.0,0.0
AGTRAP,0.0,0.0,0.0,0.0
AGXT,0.010869565217391304,0.0,0.0,0.0
AGXT2,0.0,0.0,0.0,0.0
AHCTF1,0.016304347826086956,0.0,0.0,0.0
AHCY,0.005434782608695652,0.0,0.0,0.0
AHCYL1,0.010869565217391304,0.0,0.0,0.0
AHCYL2,0.0,0.0,0.0,0.0
AHI1,0.0,0.0,0.0,0.0
AHNAK,0.021739130434782608,0.005434782608695652,0.0,0.0
AHR,0.0,0.0,0.0,0.0
AHRR,0.0,0.0,0.0,0.0
AHSA1,0.0,0.0,0.0,0.0
AHSG,0.0,0.0,0.0,0.0
AHSP,0.010869565217391304,0.0,0.0,0.0
AICDA,0.010869565217391304,0.0,0.0,0.0
AIF1,0.0,0.0,0.0,0.0
AIFM1,0.005434782608695652,0.0,0.0,0.0
AIFM2,0.005434782608695652,0.0,0.0,0.0
AIM2,0.0,0.0,0.0,0.0
AIMP1,0.010869565217391304,0.0,0.0,0.0
AIMP2,0.005434782608695652,0.0,0.0,0.0
AIP,0.0,0.0,0.0,0.0
AIPL1,0.0,0.0,0.0,0.0
AJAP1,0.005434782608695652,0.0,0.0,0.0
AJUBA,0.0,0.005434782608695652,0.005434782608695652,0.0
AK2,0.0,0.0,0.0,0.0
AK3,0.005434782608695652,0.0,0.0,0.0
AK4,0.005434782608695652,0.0,0.0,0.0
AK5,0.005434782608695652,0.005434782608695652,0.0,0.0
AK8,0.005434782608695652,0.0,0.0,0.0
AKAP1,0.021739130434782608,0.0,0.0,0.0
AKAP10,0.0,0.0,0.0,0.0
AKAP12,0.005434782608695652,0.0,0.0,0.0
AKAP13,0.03804347826086957,0.0,0.0,0.0
AKAP14,0.0,0.0,0.0,0.0
AKAP3,0.016304347826086956,0.0,0.0,0.0
AKAP4,0.005434782608695652,0.0,0.0,0.0
AKAP5,0.005434782608695652,0.0,0.0,0.0
AKAP7,0.0,0.0,0.010869565217391304,0.0
AKAP8,0.0,0.0,0.0,0.0
AKAP8L,0.0,0.0,0.0,0.0
AKAP9,0.03804347826086957,0.005434782608695652,0.010869565217391304,0.0
AKIRIN1,0.0,0.0,0.0,0.0
AKIRIN2,0.010869565217391304,0.0,0.0,0.0
AKR1A1,0.010869565217391304,0.0,0.0,0.0
AKR1B1,0.0,0.0,0.0,0.0
AKR1C1,0.0,0.0,0.0,0.0
AKR1C2,0.0,0.0,0.005434782608695652,0.0
AKR1C3,0.0,0.0,0.0,0.0
AKR1C4,0.005434782608695652,0.0,0.0,0.0
AKR1D1,0.0,0.0,0.0,0.0
AKR7A2,0.0,0.0,0.0,0.0
AKR7A3,0.0,0.0,0.0,0.0
AKT1,0.010869565217391304,0.0,0.0,0.0
AKT1S1,0.005434782608695652,0.0,0.005434782608695652,0.0
AKT2,0.005434782608695652,0.0,0.0,0.0
AKT3,0.005434782608695652,0.0,0.0,0.005434782608695652
AKTIP,0.0,0.0,0.0,0.0
ALAD,0.005434782608695652,0.0,0.0,0.0
ALAS1,0.0,0.0,0.0,0.0
ALB,0.005434782608695652,0.0,0.0,0.0
ALCAM,0.0,0.0,0.005434782608695652,0.0
ALDH18A1,0.005434782608695652,0.0,0.0,0.0
ALDH1A1,0.010869565217391304,0.005434782608695652,0.0,0.0
ALDH1A2,0.005434782608695652,0.0,0.0,0.0
ALDH1A3,0.0,0.0,0.005434782608695652,0.0
ALDH1B1,0.005434782608695652,0.0,0.0,0.0
ALDH1L1,0.016304347826086956,0.0,0.0,0.0
ALDH1L2,0.010869565217391304,0.0,0.0,0.005434782608695652
ALDH2,0.0,0.0,0.005434782608695652,0.005434782608695652
ALDH3A1,0.0,0.0,0.0,0.0
ALDH3A2,0.005434782608695652,0.0,0.0,0.0
ALDH3B1,0.005434782608695652,0.0,0.0,0.0
ALDH4A1,0.010869565217391304,0.0,0.0,0.0
ALDH5A1,0.0,0.0,0.0,0.0
ALDH6A1,0.010869565217391304,0.0,0.0,0.0
ALDH9A1,0.005434782608695652,0.0,0.0,0.0
ALDOC,0.010869565217391304,0.0,0.0,0.0
ALG1,0.0,0.0,0.0,0.005434782608695652
ALG10,0.010869565217391304,0.0,0.005434782608695652,0.0
ALG10B,0.0,0.0,0.0,0.0
ALG11,0.0,0.0,0.005434782608695652,0.0
ALG12,0.005434782608695652,0.0,0.0,0.005434782608695652
ALG13,0.0,0.0,0.0,0.0
ALG14,0.0,0.0,0.0,0.0
ALG2,0.0,0.0,0.0,0.0
ALG3,0.0,0.0,0.0,0.0
ALG5,0.0,0.0,0.0,0.0
ALG8,0.0,0.0,0.0,0.0
ALG9,0.0,0.0,0.0,0.0
ALK,0.02717391304347826,0.0,0.0,0.0
ALKBH1,0.005434782608695652,0.0,0.0,0.0
ALKBH2,0.010869565217391304,0.0,0.0,0.0
ALKBH3,0.005434782608695652,0.005434782608695652,0.0,0.0
ALKBH4,0.0,0.0,0.0,0.0
ALKBH5,0.005434782608695652,0.0,0.0,0.0
ALKBH7,0.005434782608695652,0.0,0.0,0.0
ALKBH8,0.0,0.0,0.0,0.0
ALMS1,0.02717391304347826,0.0,0.0,0.0
ALOX12,0.005434782608695652,0.005434782608695652,0.0,0.0
ALOX15,0.0,0.0,0.0,0.0
ALOX15B,0.005434782608695652,0.0,0.005434782608695652,0.0
ALOX5,0.010869565217391304,0.0,0.0,0.0
ALOX5AP,0.0,0.0,0.0,0.0
ALPG,0.0,0.0,0.0,0.0
ALPI,0.0,0.0,0.0,0.0
ALPL,0.0,0.0,0.0,0.0
